SMILES,pchembl_value
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.6
NC(COc1cncc(-c2ccc3c(c2)C(=Cc2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,8.6
CNC(=O)NC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,8.6
Oc1ccc(-c2n[nH]c3ncc(-c4ccc(O)c(O)c4)cc23)cc1,8.6
COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,8.59
O=C1NC(NC2CCCCCC2)=N/C1=C\c1ccc2ncsc2c1,8.59
COC(=N)c1nc2ccc3ncnc(Nc4cc(Br)c5c(c4)OCO5)c3c2s1,8.56
C[C@@H]1CN(C(=O)Nc2cc(-c3cn([C@H]4CC[C@@](C)(O)CC4)c4cnccc34)ccn2)C[C@H](C)O1,8.52
CC(C)CCNC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,8.52
CN1CCN(c2ccc(NC(=O)c3n[nH]c4ccc(-c5cncc(NC(=O)c6c(F)cccc6F)c5)cc34)cn2)CC1,8.52
O=C(Nc1ccc(N2CCCC2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCC4)c3)cc12,8.52
O=C(Nc1ccc2c(c1)OCCO2)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,8.52
Cc1ncc(NC(=O)c2n[nH]c3ccc(-c4cnn(C5CCN(C)CC5)c4)cc23)s1,8.52
Cc1cc(-c2ccc3[nH]nc(C(=O)Nc4ccc(OC5CCN(C)CC5)cc4)c3c2)sn1,8.52
CC(C)(C)CC(=O)Nc1cncc(-c2ccc3[nH]nc(-c4nc5ccncc5[nH]4)c3c2)c1,8.52
NC1CN(c2cncc(-c3ccc4[nH]nc(-c5nc6ccncc6[nH]5)c4c3)n2)C1,8.52
c1cncc(-c2ccc3[nH]nc(-c4nc5c(-c6ccoc6)cncc5[nH]4)c3c2)c1,8.52
CC(C)CC(=O)Nc1cncc(-c2cc3c(-c4nc5c(-c6cc(F)cc(OCCN7CCCC7)c6)cncc5[nH]4)n[nH]c3cn2)c1,8.52
Nc1cncc(-c2cnc3[nH]nc(-c4cc5c(-c6ccncc6)cncc5[nH]4)c3c2)c1,8.52
Nc1cncc(-c2cc3c(-c4cc5c(-c6ccncc6)cncc5[nH]4)n[nH]c3cn2)c1,8.52
CCCCC(=O)Nc1cncc(-c2cnc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1,8.52
CC(C)(C)CC(=O)Nc1cncc(-c2cc3c(-c4cc5cnccc5[nH]4)n[nH]c3cn2)c1,8.52
O=C(Nc1cncc(-c2cc3c(-c4cc5cnccc5[nH]4)n[nH]c3cn2)c1)C1CCCCC1,8.52
CCNCc1cncc(-c2ccc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1,8.52
FC1(F)CCN(Cc2cncc(-c3ccc4[nH]nc(-c5cc6cnccc6[nH]5)c4n3)c2)C1,8.52
CN1CCN(c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cncc(N)c6)cc45)cc23)CC1,8.52
CCC(=O)Nc1cncc(-c2cc3c(-c4cc5c(N6CCN(C)CC6)nccc5[nH]4)n[nH]c3cn2)c1,8.52
CN1CCN(c2nccc3[nH]c(-c4n[nH]c5cnc(-c6cncc(NC(=O)C(C)(C)C)c6)cc45)cc23)CC1,8.52
CN1CCN(c2nccc3[nH]c(-c4n[nH]c5cnc(-c6cncc(NC(=O)C7CCCCC7)c6)cc45)cc23)CC1,8.52
CN(C)CCOc1cc(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)ccn1,8.52
Cc1cc(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)cc(N2CCN(C)CC2)n1,8.52
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(OC5CNC5)c4)cc3c2)cn1,8.52
Cn1cc(-c2ccc3cnc(NC(=O)c4cnc5ccccc5c4)cc3c2)cn1,8.52
Cn1cc(-c2ccc3cnc(NC(=O)c4ccc5cnccc5c4)cc3c2)cn1,8.52
CC(C)OC(=O)N1CCC(n2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)cn2)CC1,8.52
Cn1ncc(-c2ccc3cnc(NC(=O)[C@H]4CC[C@H](CO)CC4)cc3c2)c1CN1CCCCC1,8.52
Cn1ncc(-c2ccc3cnc(NC(=O)C4CCN(C(=O)c5ccccc5)CC4)cc3c2)c1CN1CCCCC1,8.52
CC(C)N1CCC(n2cc(C(=O)Nc3cc4cc(-c5cn(C)nn5)ccc4cn3)cn2)CC1,8.52
Cc1nnc(-c2ccc3cnc(NC(=O)c4ccnc(C5=CCN(C)CC5)c4)cc3c2)s1,8.52
O=C(Nc1cc2cc(-c3cncc(CN4CCC(O)CC4)c3)ccc2cn1)c1ccc(F)cc1,8.52
CN1CCC(n2cc(C(=O)Nc3cc4cc(-c5cncc6[nH]ccc56)ccc4cn3)cn2)CC1,8.52
c1cc2cc(c1)-c1cncc3[nH]c(nc13)-c1n[nH]c3ccc(cc13)-c1cncc(c1)CNC2,8.52
